Dr Mahesh Kumar | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Dr Neeraja Thomas | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Mr Karthik Menon | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Ms Pooja Nair | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Dr Sanjay Varghese | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Ms Beena George | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Mr Ibrahim Khan | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Dr Merin Joseph | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Computer Science and Engineering
Dr Charan Raj | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Mr Biju Mathew | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Ms Hiba Rahman | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Dr Liza Paul | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Dr Anil Krishnan | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Ms Roshni Das | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Mr Yaseen Ali | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Dr Preetha Nair | Campus: 0de2f08e-7301-42ed-9813-25d488031284 | Dept: Electronics and Communication
Dr Naveen Thomas | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Dr Revathi Menon | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Mr Arul Raj | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Ms Diya George | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Dr Melvin Joseph | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Ms Haritha Nair | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Mr. Vishnu Sasi | Campus: None | Dept: None
Ms. Deepa Menon | Campus: None | Dept: None
Dr. Anoop Sreekanth | Campus: None | Dept: None
Ms. Nisha Thomas | Campus: None | Dept: None
Dr. Jijo Mathew | Campus: None | Dept: None
Dr. Sreeni Lakshmi | Campus: None | Dept: None
Dr. Thomas George | Campus: None | Dept: None
Ms. Ananya Pillai | Campus: None | Dept: None
Mr. Suresh Babu | Campus: None | Dept: None
Sanjay Iyer | Campus: None | Dept: None
Arun Kumar | Campus: None | Dept: None
Sanjay Iyer | Campus: None | Dept: None
Prof. John Doe 1 | Campus: None | Dept: None
Prof. John Doe 2 | Campus: None | Dept: None
Prof. John Doe 3 | Campus: None | Dept: None
Prof. John Doe 4 | Campus: None | Dept: None
Prof. John Doe 5 | Campus: None | Dept: None
Mr Salman Faris | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Dr Teresa Mathew | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Computer Science and Engineering
Dr Pranav Pillai | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
Mr Jomon Das | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
Arun Kumar | Campus: None | Dept: None
Ms Nisha Varma | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
Dr Bindu Krishnan | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
Dr Rahul Xavier | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
Ms Farzana Ali | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
Mr Akshay Mohan | Campus: d63383ee-7290-4061-8517-65634ab12932 | Dept: Electronics and Communication
